username,genre_id,rating
kstammler1m,15,1.0
pcolleford2r,8,3.0
hseabrocke2m,5,4.0
garonovich1v,5,3.0
garonovich1v,9,1.0
jhaslen2e,5,3.0
rrosten1x,16,3.0
afradsonm,7,3.0
gtoffolonio,16,4.0
aheyward1g,2,2.0
ccockerham8,4,1.0
rtwitchings9,3,3.0
cyannoni1w,20,1.0
msmedmore2n,19,3.0
prosenfelt14,10,1.0
vmuslimf,3,3.0
mcharlot12,1,2.0
dbruckshaw1l,5,2.0
tfley1q,15,1.0
cdevaneyc,4,4.0
egabbatiss2p,16,4.0
tmusickaw,5,3.0
tpaulino2,11,3.0
tfley1q,11,4.0
jdellcasa1n,15,1.0
ssimoes2a,3,1.0
swilemans,16,2.0
mdampier2q,8,1.0
hpoundford2i,10,2.0
dsiene2k,20,3.0
sponteq,9,4.0
rgasgarthu,2,2.0
bfiggins23,19,4.0
cosbaldestony,1,2.0
gtapine,18,2.0
rgasgarthu,1,3.0
fscreech6,14,2.0
avasechkin2g,14,2.0
ppointon2l,13,2.0
gtoffolonio,11,2.0
fbernon1j,14,2.0
alloydwilliamsa,14,3.0
rtwitchings9,9,2.0
sponteq,2,3.0
mwhitnell7,20,4.0
egrestie2c,0,2.0
mwhitnell7,1,3.0
tlowden17,13,3.0
jmonini18,5,1.0
ashenton26,6,4.0
dsiene2k,3,2.0
lconaboy11,10,1.0
vsecretan1z,0,4.0
olechmere1k,20,2.0
vmuslimf,4,4.0
tmusickaw,17,4.0
egrestie2c,17,4.0
bfiggins23,1,4.0
dpiatto4,15,3.0
tlowden17,10,2.0
cfrankcom2d,3,3.0
jdellcasa1n,13,2.0
pkyteley2j,6,4.0
jhaslen2e,17,2.0
msmedmore2n,2,1.0
prosenfelt14,4,4.0
vsecretan1z,20,4.0
kstammler1m,13,4.0
rtwitchings9,5,4.0
rwilcott10,0,4.0
cschild1y,18,4.0
egabbatiss2p,20,3.0
llangloisi,7,3.0
lshattock1e,19,1.0
tpaulino2,2,1.0
onewberryd,2,3.0
msmedmore2n,4,2.0
hpoundford2i,2,1.0
mcharlot12,20,1.0
rgasgarthu,19,3.0
battwellz,8,1.0
astoate1c,0,1.0
aecclestone1d,0,3.0
prosenfelt14,13,4.0
mvasseh,0,3.0
rbottrellt,11,1.0
jmccarterx,6,2.0
cwaszkiewicz1u,7,3.0
ccrippin21,4,4.0
ppointon2l,2,3.0
kstonestreet20,7,4.0
tmusickaw,3,4.0
knewling1s,5,3.0
mromandl,18,1.0
llangloisi,5,4.0
rbottrellt,1,4.0
tsowrah1t,3,3.0
ppointon2l,15,4.0
rgasgarthu,11,4.0
ccockerham8,12,3.0
jhaslen2e,8,1.0
cfrankcom2d,16,2.0
llangloisi,18,2.0
onewberryd,16,2.0
lshattock1e,18,1.0
ccrippin21,6,3.0
xbenion2f,6,4.0
sponteq,7,4.0
battwellz,15,1.0
rrosten1x,19,3.0
pkyteley2j,14,2.0
dsiene2k,18,2.0
knewling1s,10,4.0
wleatt2o,19,3.0
msmedmore2n,20,1.0
pvicaryn,9,4.0
ashenton26,14,3.0
rgasgarthu,8,4.0
cyannoni1w,18,2.0
rfoulis13,20,2.0
dpiatto4,3,1.0
avasechkin2g,10,3.0
ksmedley1b,18,4.0
fscreech6,5,3.0
pcolleford2r,17,3.0
bfiggins23,17,4.0
aeul1o,9,1.0
cosbaldestony,4,3.0
kstammler1m,12,4.0
lconaboy11,15,4.0
pvicaryn,11,1.0
vmuslimf,14,2.0
cwaszkiewicz1u,5,4.0
tpaulino2,16,2.0
aeul1o,12,1.0
csedgeworthk,8,4.0
jmarkos29,18,3.0
rwilcott10,9,3.0
egabbatiss2p,18,3.0
dbruckshaw1l,18,2.0
pvicaryn,17,1.0
sbignell19,15,2.0
aecclestone1d,7,2.0
jcolyer5,16,3.0
sponteq,4,3.0
mmeka,8,3.0
marnaez24,13,3.0
rfoulis13,6,3.0
jcolyer5,15,1.0
jdellcasa1n,1,4.0
mgarioch1p,12,1.0
bdundin1f,13,4.0
cfrankcom2d,10,1.0
cniesel0,9,2.0
mgarioch1p,0,1.0
garonovich1v,8,2.0
glongbottom16,3,1.0
rbottrellt,15,3.0
gtapine,10,4.0
thargess27,2,1.0
onewberryd,13,1.0
lmaxtedg,2,3.0
tsowrah1t,11,1.0
swilemans,13,2.0
mromandl,14,3.0
cschild1y,7,2.0
fbernon1j,15,2.0
wdjordjevic1r,20,4.0
fbernon1j,8,3.0
mcharlot12,10,4.0
dpiatto4,18,4.0
mvasseh,10,4.0
thargess27,19,3.0
rfoulis13,3,4.0
jvasilenko2h,7,4.0
lbudibent3,6,4.0
gtapine,4,3.0
tlowden17,2,3.0
rgasgarthu,17,2.0
glongbottom16,13,3.0
gtoffolonio,7,2.0
ppointon2l,7,3.0
oaloshkinj,15,3.0
csedgeworthk,15,3.0
tsowrah1t,0,4.0
csedgeworthk,19,2.0
vmuslimf,10,2.0
mmeka,6,4.0
mwhitnell7,10,1.0
mromandl,9,2.0
dsiene2k,10,1.0
cniesel0,18,4.0
garonovich1v,18,3.0
jmonini18,1,4.0
jhearsey25,18,2.0
mgarioch1p,4,2.0
kstammler1m,11,1.0
mdampier2q,10,3.0
mvasseh,20,2.0
egrestie2c,19,1.0
fscreech6,8,2.0
jmccarterx,18,1.0
knewling1s,12,4.0
ppointon2l,12,3.0
fbernon1j,4,4.0
hpoundford2i,12,3.0
dpiatto4,17,3.0
mvasseh,17,3.0
xbenion2f,13,1.0
aeul1o,17,3.0
knewling1s,2,1.0
sponteq,10,4.0
xbenion2f,2,2.0
cosbaldestony,13,4.0
aecclestone1d,17,1.0
msmedmore2n,9,4.0
bfiggins23,20,3.0
dbruckshaw1l,10,2.0
cniesel0,8,2.0
dpiatto4,10,4.0
fbernon1j,19,4.0
rfoulis13,2,4.0
ahorbath1a,8,2.0
rfoulis13,19,3.0
rgasgarthu,15,2.0
mwhitnell7,18,3.0
tsowrah1t,4,1.0
wleatt2o,4,3.0
thargess27,0,3.0
aeul1o,18,2.0
jcolyer5,11,4.0
egrestie2c,7,4.0
mcharlot12,11,1.0
pkyteley2j,17,4.0
mgarioch1p,8,2.0
lmaxtedg,1,3.0
afradsonm,19,3.0
lconaboy11,14,4.0
mwhitnell7,9,4.0
knewling1s,14,2.0
sbignell19,20,4.0
ksmedley1b,9,4.0
dpiatto4,8,3.0
gtapine,6,4.0
mcharlot12,4,2.0
jdellcasa1n,10,4.0
apetchell15,20,2.0
tdundon1,16,1.0
rtwitchings9,2,4.0
bfiggins23,15,1.0
rrosten1x,9,2.0
daleksidzer,4,2.0
knewling1s,0,1.0
mgarioch1p,1,1.0
dsiene2k,1,2.0
msmedmore2n,11,1.0
sbignell19,4,3.0
lconaboy11,6,4.0
gseadon28,4,2.0
rwilcott10,18,1.0
pkyteley2j,0,4.0
mvasseh,15,1.0
hseabrocke2m,19,4.0
cosbaldestony,18,3.0
glongbottom16,11,2.0
tpaulino2,14,3.0
lbudibent3,9,1.0
ssimoes2a,1,1.0
daleksidzer,9,3.0
ashenton26,10,2.0
hseabrocke2m,1,4.0
cdevaneyc,19,2.0
jmarkos29,6,3.0
cwaszkiewicz1u,2,2.0
jmarkos29,9,4.0
alloydwilliamsa,13,4.0
lmaxtedg,15,4.0
vmuslimf,9,4.0
pvicaryn,8,3.0
jhearsey25,16,2.0
marnaez24,1,1.0
wleatt2o,2,1.0
lmaxtedg,11,2.0
cdevaneyc,1,1.0
jmarkos29,2,2.0
gtoffolonio,13,1.0
jdellcasa1n,16,4.0
lbudibent3,14,3.0
cfrankcom2d,7,3.0
cdevaneyc,12,4.0
thargess27,13,3.0
alloydwilliamsa,8,4.0
prosenfelt14,7,4.0
gbezemer1h,10,2.0
esouthwell2b,13,3.0
knewling1s,4,2.0
wdjordjevic1r,8,1.0
hseabrocke2m,10,1.0
elivingstonep,10,3.0
mcharlot12,2,4.0
tsowrah1t,10,3.0
cfrankcom2d,13,3.0
tlowden17,7,2.0
cosbaldestony,8,3.0
rwilcott10,19,4.0
bboobierv,7,1.0
ssparshettb,9,1.0
mdampier2q,18,1.0
ssparshettb,5,2.0
cyannoni1w,13,2.0
apetchell15,19,3.0
elivingstonep,2,2.0
jmonini18,11,4.0
rrosten1x,4,3.0
kstammler1m,20,3.0
wdjordjevic1r,13,4.0
cniesel0,15,2.0
swilemans,19,4.0
sponteq,15,4.0
cdevaneyc,13,2.0
dbruckshaw1l,13,3.0
mwhitnell7,13,4.0
egrestie2c,16,1.0
pvicaryn,18,2.0
glongbottom16,20,2.0
ashenton26,9,2.0
ccrippin21,10,3.0
tdundon1,18,4.0
pvicaryn,16,2.0
egabbatiss2p,1,4.0
glongbottom16,15,2.0
garonovich1v,2,1.0
glongbottom16,6,4.0
tmusickaw,9,3.0
afradsonm,15,3.0
apetchell15,10,4.0
cwaszkiewicz1u,17,1.0
tsowrah1t,2,3.0
xbenion2f,7,1.0
mromandl,13,4.0
ahorbath1a,18,3.0
mmeka,15,5.0
cwaszkiewicz1u,13,4.0
lconaboy11,3,1.0
swilemans,20,2.0
apetchell15,5,3.0
lconaboy11,11,1.0
gbezemer1h,16,3.0
rfoulis13,4,1.0
jmarkos29,16,3.0
olechmere1k,13,3.0
prosenfelt14,5,2.0
sbignell19,19,4.0
msmedmore2n,16,2.0
vmuslimf,17,1.0
jdellcasa1n,12,2.0
tsowrah1t,19,3.0
avasechkin2g,3,4.0
tsowrah1t,13,3.0
dayllett1i,14,2.0
mwhitnell7,4,4.0
daleksidzer,19,4.0
rwilcott10,4,2.0
knewling1s,11,4.0
esouthwell2b,19,1.0
cosbaldestony,2,4.0
avasechkin2g,13,2.0
ssparshettb,1,3.0
jdellcasa1n,6,2.0
alloydwilliamsa,5,4.0
dsiene2k,0,2.0
tmusickaw,16,4.0
marnaez24,11,3.0
jhaslen2e,7,3.0
wleatt2o,1,3.0
rwilcott10,15,1.0
ccrippin21,16,2.0
rfoulis13,1,2.0
lmaxtedg,18,4.0
jcolyer5,20,4.0
marnaez24,18,3.0
cschild1y,8,3.0
knewling1s,7,1.0
tfley1q,12,1.0
tdundon1,10,1.0
egrestie2c,10,1.0
thargess27,1,2.0
alloydwilliamsa,16,4.0
cschild1y,14,3.0
mdampier2q,0,2.0
marnaez24,10,4.0
rbottrellt,18,2.0
sbignell19,0,3.0
battwellz,1,3.0
tfley1q,19,3.0
gtapine,7,4.0
knewling1s,6,2.0
ssimoes2a,17,4.0
esouthwell2b,0,2.0
marnaez24,2,4.0
vsecretan1z,8,1.0
tlowden17,6,2.0
sbignell19,2,1.0
afradsonm,1,3.0
ashenton26,20,4.0
rbottrellt,2,3.0
elivingstonep,9,1.0
fbernon1j,13,1.0
marnaez24,12,3.0
vmuslimf,16,1.0
hseabrocke2m,17,4.0
lmaxtedg,0,1.0
cschild1y,13,1.0
wdjordjevic1r,2,3.0
astoate1c,16,2.0
bboobierv,19,1.0
glongbottom16,0,2.0
jvasilenko2h,3,3.0
ccrippin21,12,1.0
jhaslen2e,12,2.0
ccrippin21,9,2.0
egrestie2c,11,1.0
jdellcasa1n,7,3.0
mdampier2q,14,3.0
swilemans,1,1.0
gbezemer1h,17,1.0
marnaez24,5,1.0
esouthwell2b,9,1.0
ksmedley1b,11,3.0
sbignell19,5,2.0
jdellcasa1n,0,4.0
fscreech6,19,4.0
rrosten1x,10,1.0
elivingstonep,8,4.0
fbernon1j,16,3.0
fscreech6,17,1.0
dayllett1i,12,1.0
jmarkos29,19,2.0
esouthwell2b,7,4.0
rgasgarthu,18,3.0
afradsonm,9,4.0
dsiene2k,5,2.0
pvicaryn,5,1.0
ebatchelor22,7,2.0
mmeka,5,4.0
cfrankcom2d,9,3.0
ccockerham8,16,4.0
lshattock1e,17,3.0
jhearsey25,9,3.0
olechmere1k,0,3.0
rrosten1x,5,4.0
rgasgarthu,16,1.0
oaloshkinj,14,4.0
bfiggins23,2,3.0
kstammler1m,18,1.0
hseabrocke2m,13,4.0
cyannoni1w,11,3.0
ssimoes2a,15,2.0
csedgeworthk,10,1.0
cyannoni1w,16,4.0
glongbottom16,10,4.0
ccrippin21,1,1.0
egrestie2c,8,3.0
mcharlot12,12,2.0
cosbaldestony,17,3.0
pkyteley2j,20,1.0
cschild1y,6,3.0
rtwitchings9,4,3.0
glongbottom16,12,4.0
ccockerham8,11,2.0
esouthwell2b,2,3.0
hseabrocke2m,18,3.0
wdjordjevic1r,12,1.0
mmeka,1,4.0
kstonestreet20,11,2.0
daleksidzer,16,4.0
elivingstonep,20,4.0
msmedmore2n,17,1.0
mvasseh,2,2.0
vmuslimf,8,4.0
fscreech6,10,2.0
ksmedley1b,3,3.0
cwaszkiewicz1u,15,2.0
marnaez24,7,4.0
fscreech6,18,2.0
bdundin1f,1,1.0
lconaboy11,16,2.0
bdundin1f,14,3.0
jmarkos29,7,1.0
hpoundford2i,18,3.0
swilemans,10,3.0
prosenfelt14,16,2.0
aeul1o,13,2.0
apetchell15,3,4.0
thargess27,8,1.0
cyannoni1w,9,4.0
onewberryd,15,2.0
dpiatto4,0,4.0
sponteq,13,1.0
gbezemer1h,15,2.0
msmedmore2n,0,2.0
vsecretan1z,3,2.0
ebatchelor22,8,1.0
tlowden17,14,2.0
dpiatto4,13,1.0
gtapine,13,3.0
mgarioch1p,10,4.0
cdevaneyc,15,2.0
onewberryd,19,2.0
pvicaryn,15,4.0
pcolleford2r,19,3.0
bdundin1f,20,1.0
egrestie2c,13,2.0
marnaez24,15,4.0
lbudibent3,20,3.0
ppointon2l,0,4.0
jhearsey25,11,1.0
cosbaldestony,7,2.0
alloydwilliamsa,0,2.0
gseadon28,5,1.0
tfley1q,16,3.0
lconaboy11,8,2.0
cosbaldestony,9,2.0
aeul1o,7,2.0
rtwitchings9,13,3.0
dayllett1i,3,4.0
jmonini18,19,2.0
gseadon28,1,4.0
avasechkin2g,9,4.0
gbezemer1h,11,4.0
alloydwilliamsa,4,4.0
glongbottom16,7,1.0
daleksidzer,2,4.0
egabbatiss2p,8,2.0
ssimoes2a,6,3.0
mromandl,17,1.0
cniesel0,6,2.0
rgasgarthu,13,4.0
bdundin1f,5,4.0
mromandl,5,2.0
alloydwilliamsa,19,4.0
cschild1y,5,2.0
bfiggins23,13,4.0
jhearsey25,13,4.0
rgasgarthu,20,2.0
oaloshkinj,8,1.0
ssimoes2a,5,1.0
tsowrah1t,16,4.0
cyannoni1w,14,1.0
cyannoni1w,2,4.0
bboobierv,16,1.0
fscreech6,9,3.0
dpiatto4,4,3.0
garonovich1v,17,1.0
mvasseh,18,2.0
elivingstonep,1,4.0
rtwitchings9,0,1.0
ebatchelor22,11,4.0
csedgeworthk,17,2.0
ksmedley1b,5,4.0
xbenion2f,8,3.0
ahorbath1a,10,3.0
glongbottom16,14,4.0
vsecretan1z,9,4.0
sponteq,5,2.0
ssparshettb,8,1.0
cfrankcom2d,11,1.0
aeul1o,3,4.0
cfrankcom2d,0,4.0
dsiene2k,19,4.0
xbenion2f,19,4.0
knewling1s,9,2.0
tpaulino2,0,3.0
dsiene2k,9,2.0
prosenfelt14,0,3.0
kstammler1m,2,2.0
hpoundford2i,6,3.0
aheyward1g,12,3.0
afradsonm,17,2.0
wdjordjevic1r,9,2.0
fbernon1j,7,1.0
wleatt2o,0,2.0
jmonini18,15,2.0
rfoulis13,15,1.0
gbezemer1h,0,4.0
thargess27,20,3.0
lmaxtedg,8,1.0
daleksidzer,15,2.0
dbruckshaw1l,15,4.0
olechmere1k,18,2.0
rwilcott10,14,3.0
tfley1q,14,4.0
ksmedley1b,14,4.0
aecclestone1d,1,4.0
jhaslen2e,14,3.0
mromandl,1,1.0
mmeka,13,2.0
prosenfelt14,2,2.0
ppointon2l,9,4.0
egabbatiss2p,13,2.0
lconaboy11,17,3.0
mmeka,17,2.0
mmeka,14,5.0
mmeka,16,5.0
