username,actor_id,rating
gtoffolonio,3248,1
dayllett1i,1241,3
battwellz,5169,4
rbottrellt,676,1
jcolyer5,4691,2
aheyward1g,1602,4
hseabrocke2m,3228,1
gtoffolonio,1676,3
sponteq,1876,3
ssparshettb,2235,3
aheyward1g,2611,1
prosenfelt14,2193,1
sponteq,1035,4
gtapine,5680,3
kstammler1m,1693,3
sponteq,3093,3
kstammler1m,1945,3
ssparshettb,1777,4
glongbottom16,5578,1
jhearsey25,2215,3
wleatt2o,759,1
thargess27,3569,4
kstammler1m,5194,1
tdundon1,1681,4
vsecretan1z,5196,2
ssparshettb,2406,2
battwellz,3853,4
egrestie2c,1583,3
cfrankcom2d,2602,2
lbudibent3,4845,3
alloydwilliamsa,5574,4
tpaulino2,5622,3
alloydwilliamsa,1063,3
oaloshkinj,3565,3
ahorbath1a,778,2
mdampier2q,4275,4
tfley1q,332,2
cfrankcom2d,257,1
apetchell15,150,2
gtoffolonio,4136,1
cyannoni1w,2842,3
jhaslen2e,3478,1
elivingstonep,3589,3
cosbaldestony,1107,4
hpoundford2i,3168,3
bboobierv,4573,3
mcharlot12,3647,4
cfrankcom2d,2545,1
mdampier2q,999,1
gseadon28,4661,4
bdundin1f,4600,1
cwaszkiewicz1u,2559,4
pcolleford2r,1300,4
swilemans,1864,4
sbignell19,2275,4
vsecretan1z,2869,3
swilemans,4099,4
fbernon1j,3,1
jcolyer5,1438,4
llangloisi,1999,3
ahorbath1a,850,1
fbernon1j,1013,1
tpaulino2,4873,3
gtoffolonio,2164,1
sbignell19,1763,3
fscreech6,4947,4
ppointon2l,3125,1
tlowden17,4826,3
tmusickaw,4549,2
jcolyer5,1641,1
astoate1c,1780,2
tlowden17,1624,2
jvasilenko2h,3226,4
msmedmore2n,2125,3
bboobierv,517,2
egrestie2c,2402,1
dbruckshaw1l,3029,4
bboobierv,3541,4
lshattock1e,3113,1
bfiggins23,1593,1
aheyward1g,2224,1
aheyward1g,3679,1
mcharlot12,1151,4
gseadon28,5255,3
mromandl,4176,1
aheyward1g,3726,1
mwhitnell7,2318,2
avasechkin2g,53,1
ksmedley1b,1919,3
gtoffolonio,3219,3
xbenion2f,396,4
lmaxtedg,5365,2
ashenton26,1396,2
sponteq,145,1
aheyward1g,4087,4
tpaulino2,4382,1
alloydwilliamsa,1902,3
lmaxtedg,5593,1
lmaxtedg,785,4
tdundon1,3709,3
elivingstonep,4574,1
tdundon1,4161,2
mromandl,3834,1
xbenion2f,2902,3
ssparshettb,3212,4
gtoffolonio,202,4
cdevaneyc,1486,3
tdundon1,4250,1
garonovich1v,106,3
mcharlot12,3695,4
cdevaneyc,3729,2
dsiene2k,666,1
msmedmore2n,1478,1
egrestie2c,5036,1
ebatchelor22,4323,1
cschild1y,1632,4
bfiggins23,1091,1
ahorbath1a,5163,4
cfrankcom2d,3132,2
dayllett1i,5505,1
olechmere1k,84,4
jhaslen2e,4820,2
cschild1y,3667,2
lconaboy11,3006,4
dpiatto4,2593,1
ccrippin21,5104,4
rfoulis13,4953,2
ashenton26,1848,1
gtapine,3992,1
ccrippin21,2022,2
gtapine,1054,2
dbruckshaw1l,3950,3
pvicaryn,7,4
llangloisi,56,1
cosbaldestony,2093,1
bdundin1f,926,1
ebatchelor22,3993,2
rwilcott10,788,4
tfley1q,3040,4
kstammler1m,3844,1
pcolleford2r,2459,2
hseabrocke2m,5413,4
vmuslimf,4594,3
garonovich1v,2280,3
garonovich1v,1330,2
ccrippin21,476,1
jhaslen2e,507,1
garonovich1v,3876,4
rrosten1x,646,1
afradsonm,3454,2
tlowden17,5444,3
ksmedley1b,95,3
gtoffolonio,1448,3
aheyward1g,3633,2
ccockerham8,2500,4
rtwitchings9,82,2
cyannoni1w,4224,2
msmedmore2n,1349,1
prosenfelt14,725,4
vmuslimf,3882,3
lconaboy11,4857,1
garonovich1v,1775,1
egabbatiss2p,144,4
mcharlot12,4240,3
dbruckshaw1l,3183,3
tfley1q,5317,1
cdevaneyc,3357,1
egabbatiss2p,132,2
tlowden17,1292,3
tmusickaw,4662,1
tpaulino2,3158,4
tfley1q,5375,1
jdellcasa1n,1383,3
ssimoes2a,2982,2
swilemans,2468,4
mdampier2q,5351,4
hpoundford2i,1512,2
battwellz,2965,4
dsiene2k,2450,2
sponteq,3630,4
rgasgarthu,489,1
bfiggins23,130,1
cosbaldestony,2337,2
gtapine,313,1
rgasgarthu,3417,2
fscreech6,4159,1
avasechkin2g,3397,2
ppointon2l,4236,1
gtoffolonio,1064,4
dbruckshaw1l,889,2
fbernon1j,3326,2
marnaez24,1639,2
mcharlot12,3102,2
alloydwilliamsa,2263,3
thargess27,1882,1
mvasseh,3018,4
rtwitchings9,3390,1
sponteq,4031,4
mwhitnell7,2771,2
egrestie2c,4720,3
mwhitnell7,2133,4
tlowden17,1866,2
jmonini18,3613,1
ashenton26,296,1
esouthwell2b,4638,3
dsiene2k,3892,4
lconaboy11,745,3
vsecretan1z,3592,3
olechmere1k,96,2
vmuslimf,1007,1
mcharlot12,5563,3
tmusickaw,2171,4
alloydwilliamsa,4353,4
egrestie2c,4555,4
bfiggins23,1202,1
dpiatto4,2209,1
tlowden17,444,4
cfrankcom2d,2743,2
jdellcasa1n,5374,4
pkyteley2j,4076,2
jhaslen2e,1198,2
msmedmore2n,2931,3
jhaslen2e,3955,2
prosenfelt14,4303,4
vsecretan1z,1750,4
kstammler1m,818,2
rtwitchings9,3653,2
mdampier2q,2718,1
jmarkos29,1178,2
rwilcott10,5246,1
cschild1y,332,1
egabbatiss2p,3049,4
llangloisi,666,1
lshattock1e,4152,4
tpaulino2,2386,1
onewberryd,1487,1
msmedmore2n,2982,2
hpoundford2i,4264,2
mcharlot12,3949,4
rgasgarthu,3254,1
avasechkin2g,1663,2
battwellz,5316,2
astoate1c,758,3
aecclestone1d,4168,1
prosenfelt14,3505,3
mvasseh,3409,4
rbottrellt,2202,3
jmccarterx,5258,2
cwaszkiewicz1u,5441,3
ccrippin21,4540,2
ppointon2l,5608,1
kstonestreet20,1631,2
tmusickaw,1969,2
ppointon2l,4264,3
knewling1s,4730,3
mromandl,1277,1
llangloisi,3317,4
jdellcasa1n,2557,1
rbottrellt,62,3
tsowrah1t,5626,4
ppointon2l,3412,1
rgasgarthu,4463,3
ccockerham8,5177,3
jhaslen2e,2450,2
cfrankcom2d,518,2
llangloisi,4697,3
onewberryd,4249,3
lshattock1e,3649,4
ccrippin21,1764,3
xbenion2f,2006,1
aeul1o,1693,2
sponteq,4783,4
ccrippin21,2003,4
battwellz,3108,2
swilemans,2030,2
glongbottom16,2511,2
rrosten1x,2746,1
pkyteley2j,2717,1
dsiene2k,1477,2
knewling1s,640,3
wleatt2o,3653,4
jmonini18,5233,1
msmedmore2n,3522,3
pvicaryn,4864,4
ashenton26,4663,2
rgasgarthu,4499,1
cyannoni1w,4265,4
rfoulis13,2433,3
dpiatto4,5168,2
mromandl,5476,3
avasechkin2g,686,4
ksmedley1b,4787,2
garonovich1v,4587,3
fscreech6,1924,1
pcolleford2r,4365,4
gbezemer1h,3665,4
mcharlot12,2815,3
bfiggins23,958,3
aeul1o,276,3
alloydwilliamsa,1529,4
cosbaldestony,4625,3
kstammler1m,523,3
cschild1y,3789,3
lconaboy11,1558,3
fscreech6,1155,2
pvicaryn,3982,2
vmuslimf,3732,4
cwaszkiewicz1u,701,4
ssimoes2a,5165,3
mwhitnell7,3748,2
sponteq,1314,1
tpaulino2,2385,3
jhearsey25,2361,4
aeul1o,3987,3
ccockerham8,1852,3
csedgeworthk,3959,4
jmarkos29,671,4
rwilcott10,5601,1
egabbatiss2p,5490,4
dbruckshaw1l,886,4
pvicaryn,5267,3
sbignell19,1178,3
gbezemer1h,2368,4
aecclestone1d,4921,1
jcolyer5,4083,3
rwilcott10,1062,3
sponteq,4993,4
mmeka,737,4
dpiatto4,4145,2
marnaez24,3802,2
knewling1s,2916,1
rfoulis13,4725,1
jcolyer5,5480,1
jdellcasa1n,3032,4
mgarioch1p,3808,2
bdundin1f,120,3
cfrankcom2d,1047,4
cniesel0,1727,3
rfoulis13,403,2
mgarioch1p,2883,3
garonovich1v,693,4
glongbottom16,2494,2
rbottrellt,3901,4
gtapine,182,3
thargess27,863,3
onewberryd,5258,3
lmaxtedg,1245,3
tsowrah1t,5041,2
swilemans,1138,3
mromandl,2190,3
cschild1y,4793,2
fbernon1j,1000,1
wdjordjevic1r,2218,1
wdjordjevic1r,4444,3
fbernon1j,4293,2
cniesel0,4192,1
mcharlot12,3617,1
dpiatto4,4001,4
mvasseh,695,2
tmusickaw,4015,4
thargess27,3835,1
ssimoes2a,5121,4
rfoulis13,3592,2
rgasgarthu,2964,4
jvasilenko2h,1566,2
lbudibent3,4460,4
gtapine,479,1
tlowden17,3089,2
rgasgarthu,3209,1
glongbottom16,1637,4
jdellcasa1n,3674,2
gtoffolonio,1768,3
ppointon2l,697,4
oaloshkinj,3119,2
csedgeworthk,1745,1
tsowrah1t,1203,1
csedgeworthk,1571,2
vmuslimf,2561,1
mmeka,2542,4
vsecretan1z,4312,2
mwhitnell7,4277,3
ccrippin21,4445,1
mromandl,2718,3
rtwitchings9,3878,1
dsiene2k,5617,4
cniesel0,2398,4
garonovich1v,5476,3
jmonini18,4230,2
jhearsey25,4445,2
cosbaldestony,5638,3
mgarioch1p,3985,2
kstammler1m,1634,1
mdampier2q,3266,3
mvasseh,2887,3
egrestie2c,2012,4
knewling1s,170,2
fscreech6,3979,3
jmccarterx,906,3
knewling1s,891,1
ppointon2l,3868,2
fbernon1j,2171,3
kstammler1m,4427,1
hpoundford2i,5130,3
dpiatto4,2845,1
mvasseh,2137,2
xbenion2f,1872,4
aeul1o,3002,3
knewling1s,389,2
sponteq,450,1
xbenion2f,1857,2
jdellcasa1n,2201,1
cosbaldestony,1462,2
aecclestone1d,2157,1
afradsonm,991,2
msmedmore2n,1992,2
bfiggins23,4713,3
dbruckshaw1l,5191,1
cfrankcom2d,1962,1
cniesel0,4236,3
dpiatto4,1106,2
fbernon1j,3725,4
rfoulis13,2630,4
ahorbath1a,5563,3
rfoulis13,2873,1
rgasgarthu,3719,2
mwhitnell7,2459,3
tsowrah1t,4236,3
wleatt2o,2138,2
thargess27,4901,3
aeul1o,5175,3
jcolyer5,2032,2
lmaxtedg,2622,3
egrestie2c,2916,4
mcharlot12,2777,1
pkyteley2j,1042,3
mgarioch1p,5161,2
lmaxtedg,731,4
rgasgarthu,1397,4
afradsonm,5228,1
lconaboy11,1372,1
mwhitnell7,3341,1
knewling1s,1661,3
sbignell19,2927,4
ksmedley1b,2987,1
dpiatto4,103,1
gtapine,2064,3
mcharlot12,4835,3
jdellcasa1n,1835,4
astoate1c,2894,2
cdevaneyc,5376,1
apetchell15,1429,4
aeul1o,4682,2
tdundon1,3492,4
rtwitchings9,2683,4
bfiggins23,4735,3
rrosten1x,4385,2
daleksidzer,770,2
knewling1s,4230,3
mgarioch1p,1478,1
dsiene2k,4981,1
dsiene2k,581,3
msmedmore2n,2663,4
sbignell19,1184,4
lconaboy11,252,3
gseadon28,212,3
rwilcott10,442,2
pkyteley2j,662,2
mvasseh,2054,4
thargess27,4413,1
hseabrocke2m,3905,3
cosbaldestony,5234,1
glongbottom16,5294,1
tpaulino2,3843,1
lbudibent3,544,1
ssimoes2a,5510,2
daleksidzer,4376,4
ashenton26,681,2
hseabrocke2m,1334,3
cdevaneyc,5105,3
rfoulis13,110,3
jmarkos29,3806,3
mmeka,471,4
cwaszkiewicz1u,4506,1
jmarkos29,2510,4
alloydwilliamsa,4914,1
lmaxtedg,2067,3
lmaxtedg,2424,1
vmuslimf,2730,2
rtwitchings9,1733,2
pvicaryn,485,4
jhearsey25,5307,1
marnaez24,3168,3
wleatt2o,4638,2
lmaxtedg,4857,2
aecclestone1d,1020,2
cdevaneyc,4928,1
jmarkos29,1082,3
gtoffolonio,2214,2
jdellcasa1n,1170,1
lbudibent3,407,3
cfrankcom2d,1894,2
gtapine,3294,4
cdevaneyc,5609,1
thargess27,4168,4
alloydwilliamsa,3187,3
prosenfelt14,3641,3
rrosten1x,5549,4
gbezemer1h,1684,4
esouthwell2b,4037,3
knewling1s,975,4
wdjordjevic1r,2292,4
hseabrocke2m,5446,1
elivingstonep,1048,3
mcharlot12,1383,1
tsowrah1t,4218,3
cfrankcom2d,1566,2
tlowden17,4841,1
cosbaldestony,3240,2
rwilcott10,622,1
bboobierv,3074,4
ssparshettb,1756,4
aeul1o,168,1
mdampier2q,4754,2
alloydwilliamsa,4212,4
ssparshettb,4665,3
cyannoni1w,4411,3
apetchell15,1970,1
elivingstonep,3076,3
jmonini18,438,3
rrosten1x,5666,1
kstammler1m,1728,2
wdjordjevic1r,404,2
cniesel0,3265,3
swilemans,1052,3
rfoulis13,1743,4
sponteq,5325,3
jdellcasa1n,5093,3
cdevaneyc,4721,1
gbezemer1h,814,2
dbruckshaw1l,1488,1
mwhitnell7,2905,4
egrestie2c,1412,4
pvicaryn,5522,2
glongbottom16,5432,2
ashenton26,1340,3
ccrippin21,4005,3
tdundon1,4205,1
pvicaryn,2506,3
cschild1y,1138,4
egabbatiss2p,4008,2
glongbottom16,2271,4
garonovich1v,4870,1
glongbottom16,974,4
tmusickaw,4879,2
knewling1s,5231,3
afradsonm,893,1
apetchell15,1675,3
cwaszkiewicz1u,3861,4
tsowrah1t,378,4
xbenion2f,5231,4
ssimoes2a,2547,3
mromandl,4395,1
ahorbath1a,799,2
mmeka,5683,2
cwaszkiewicz1u,399,4
lconaboy11,816,3
swilemans,1120,2
apetchell15,1206,1
lconaboy11,3059,1
gbezemer1h,2548,1
rfoulis13,3925,3
jmarkos29,5245,4
olechmere1k,687,2
prosenfelt14,4796,2
sbignell19,1586,2
msmedmore2n,962,4
vmuslimf,3768,4
jdellcasa1n,4199,3
tsowrah1t,614,2
avasechkin2g,3387,3
tsowrah1t,3792,3
dayllett1i,5143,1
mwhitnell7,1499,1
daleksidzer,2324,2
rwilcott10,573,4
knewling1s,337,3
esouthwell2b,2875,4
cosbaldestony,5608,1
avasechkin2g,1141,1
ssparshettb,235,2
jdellcasa1n,4124,1
alloydwilliamsa,81,3
dsiene2k,857,4
tmusickaw,2793,2
marnaez24,460,1
jmarkos29,2096,2
marnaez24,1069,3
jhaslen2e,3720,1
wleatt2o,2472,2
rwilcott10,346,1
ccrippin21,3887,3
rfoulis13,5118,3
lmaxtedg,17,4
jcolyer5,3388,2
marnaez24,1270,1
cschild1y,1352,4
knewling1s,536,3
tfley1q,2044,1
jhaslen2e,5257,4
tdundon1,2704,3
egrestie2c,5507,2
thargess27,611,1
xbenion2f,2604,1
alloydwilliamsa,3505,4
cschild1y,1565,3
mdampier2q,1156,3
marnaez24,5676,2
rbottrellt,440,3
sbignell19,4145,4
battwellz,1133,3
tfley1q,3974,4
gtapine,4423,1
knewling1s,1190,4
ssimoes2a,2862,2
esouthwell2b,5522,1
marnaez24,1400,2
vsecretan1z,4359,4
tlowden17,4359,2
sbignell19,2663,2
afradsonm,100,2
ashenton26,4166,4
mvasseh,5278,1
rbottrellt,5266,4
elivingstonep,5452,1
fbernon1j,1626,2
marnaez24,4612,4
vmuslimf,2764,1
hseabrocke2m,5024,4
ssimoes2a,2681,4
lmaxtedg,5038,3
cschild1y,1147,1
ebatchelor22,4437,2
wdjordjevic1r,1265,3
astoate1c,2577,3
bboobierv,2506,4
glongbottom16,2042,4
marnaez24,1284,1
jvasilenko2h,1742,4
ccrippin21,2999,2
jhaslen2e,4189,1
ccrippin21,305,1
egrestie2c,1385,3
jdellcasa1n,5337,1
mdampier2q,229,1
mromandl,5545,3
swilemans,5454,2
gbezemer1h,1828,3
marnaez24,333,4
esouthwell2b,5560,3
ksmedley1b,2410,1
pkyteley2j,1980,4
hseabrocke2m,680,4
sbignell19,2854,2
jdellcasa1n,4329,3
fscreech6,2897,4
rrosten1x,3233,3
elivingstonep,3807,4
rgasgarthu,5256,3
fbernon1j,3853,4
fscreech6,4369,4
dayllett1i,1195,2
jmarkos29,3658,2
esouthwell2b,1941,1
rgasgarthu,4482,2
afradsonm,2662,3
dsiene2k,5675,2
pvicaryn,1639,4
ebatchelor22,1210,4
hseabrocke2m,748,2
mmeka,1169,2
cfrankcom2d,3389,2
ccockerham8,4576,3
lshattock1e,2120,2
jhearsey25,2779,2
olechmere1k,713,3
rrosten1x,4692,4
rgasgarthu,736,3
oaloshkinj,3928,4
bfiggins23,1010,4
kstammler1m,5336,3
hseabrocke2m,2121,2
cyannoni1w,412,2
ssimoes2a,1113,3
csedgeworthk,5175,2
cyannoni1w,969,1
glongbottom16,4305,2
ccrippin21,5178,4
egrestie2c,1313,1
mcharlot12,2494,1
cosbaldestony,4131,2
pkyteley2j,601,2
cschild1y,1458,2
rtwitchings9,3056,1
glongbottom16,4246,3
ccockerham8,2372,3
esouthwell2b,4807,4
hseabrocke2m,1230,4
wdjordjevic1r,3807,2
mmeka,621,3
kstonestreet20,241,2
daleksidzer,4835,4
elivingstonep,3052,4
msmedmore2n,5497,4
mvasseh,5641,1
vmuslimf,4899,4
fscreech6,3990,1
ksmedley1b,5241,3
cwaszkiewicz1u,4464,1
marnaez24,1131,2
sponteq,1579,1
fscreech6,457,2
bdundin1f,5380,2
lconaboy11,4025,1
bdundin1f,1448,2
jmarkos29,5137,1
hpoundford2i,4305,1
swilemans,4119,4
prosenfelt14,5491,2
aeul1o,2486,3
apetchell15,4351,1
thargess27,1113,3
cyannoni1w,3135,2
onewberryd,3571,3
dpiatto4,2907,4
sponteq,4151,1
gbezemer1h,1068,1
msmedmore2n,2187,4
vsecretan1z,32,2
ebatchelor22,367,2
tlowden17,766,4
dpiatto4,87,2
gtapine,4198,4
mgarioch1p,2305,1
cdevaneyc,2828,4
onewberryd,1234,2
pvicaryn,2279,2
pcolleford2r,1765,3
bdundin1f,1367,2
egrestie2c,1785,4
marnaez24,2748,4
lbudibent3,711,3
ppointon2l,4095,4
jhearsey25,3399,1
cosbaldestony,3304,3
alloydwilliamsa,443,4
gseadon28,2322,2
tfley1q,1721,1
lconaboy11,3328,4
cosbaldestony,2414,1
aeul1o,1340,4
rtwitchings9,2017,2
dayllett1i,5013,1
jmonini18,854,4
gseadon28,158,3
avasechkin2g,3437,4
gbezemer1h,1471,2
alloydwilliamsa,2082,4
glongbottom16,4845,4
daleksidzer,2598,1
egabbatiss2p,2203,2
ssimoes2a,566,3
mromandl,4724,4
cniesel0,4541,2
rgasgarthu,427,2
bdundin1f,261,1
mromandl,1293,2
alloydwilliamsa,183,3
cschild1y,500,1
bfiggins23,2930,2
jhearsey25,799,3
rgasgarthu,162,3
oaloshkinj,4319,3
ssimoes2a,3279,4
tsowrah1t,695,3
cyannoni1w,2620,1
cyannoni1w,4788,1
bboobierv,625,4
fscreech6,2586,2
dpiatto4,860,3
garonovich1v,863,4
mvasseh,2307,4
elivingstonep,4881,1
rtwitchings9,4000,1
ebatchelor22,4566,4
csedgeworthk,4769,1
ksmedley1b,794,4
xbenion2f,3043,2
ahorbath1a,3547,3
glongbottom16,3200,3
vsecretan1z,859,2
sponteq,1276,3
ssparshettb,1616,1
cfrankcom2d,4944,3
aeul1o,4361,4
cfrankcom2d,217,3
dsiene2k,4806,1
xbenion2f,4971,3
knewling1s,3544,2
tpaulino2,5009,1
dsiene2k,3951,2
prosenfelt14,4256,2
kstammler1m,2788,3
hpoundford2i,2976,3
aheyward1g,1955,1
afradsonm,5162,2
wdjordjevic1r,1620,1
fbernon1j,1323,3
wleatt2o,4375,2
jmonini18,2252,4
rfoulis13,375,4
gbezemer1h,2547,4
thargess27,1385,1
lmaxtedg,918,2
daleksidzer,51,4
dbruckshaw1l,2345,4
olechmere1k,4132,4
rwilcott10,4592,2
tfley1q,4224,1
ksmedley1b,2380,3
aecclestone1d,1018,4
jhaslen2e,5307,3
mromandl,580,4
mmeka,5167,4
prosenfelt14,4291,4
ppointon2l,3975,3
egabbatiss2p,2854,4
lconaboy11,3627,2
mmeka,5693,5
moisechrist,5611,4
moisechrist,10,4
moisechrist,12,4
moisechrist,15,4
moisechrist,8,4
moisechrist,5,4
moisechrist,7,4
